,class,text
68,17,@lanablanco_bz @sabho_  you dat skank postn pix of my girl sab- so show ya fuckin ugly greasy mug ya getto bitch
98,17,"rt @drew_carrier: i still have trevor in my phone as ""might morphin assface"" no plans to ever change."
113,17,dealing bars  looking like a hobo off of 35 and you want me to feel sorry for you bc your man broke your nose? nah skank gtfo of my sight
177,17,@lenadunhamtits your nasty crooked deformed titties sent my penis into hibernation.  skank
189,17,@arianagrande #arianagrande you dress like a fucking skank and demand to be carried around  literally  and you thin� https://t.co/bg0fpgz6tw
203,17,tbh no matter how happy you are eventually some brown toothed skank is gonna ruin it. so just accept that.
242,17,@chrissytonline and ur talentless rat looking husband needs to go 2  along with ur cross eyed baby! racist skank!!!
336,17,@tiffanyslifewho @desireeaaron oh  you mean she's racist like the fucking blm you have on ur profile?? hey fat skank  why don't u just stfu
372,17,rt @better_clever: i always knew he had a girly side with the cute man purse  and how his ball sack resembles a giant camel toe in those ti�
465,17,@femmesunafraid @kellyannepolls she's that ugly skank in high school that baked cupcakes for the popular kids just to have them toss them
485,17,you probably live in your mommas basement  you make up lies and stalk people all day. get a life you ugly skank. bye felicia! ________
491,17,obviously other people are going to think you're a skank  cause you dress like one...
537,17,@rougeway keep going. i'm laughing so hard right now at how angry a fat skank on twitter is.
542,17,you're an assface  you wanna be so cool but you're a crap driver and your mustache is stupid.
595,17,desha is a fugly skank who disrespects art.
597,17,@piersmorgan @youtube why the need to dress like a skank?
628,17,i get that ur skank ass likes to wear the least amt of clothes possible but dnt bitch that it's cold bc u refuse to put on a shirt that fits
691,17,@lenadunham @americaferrera @amyschumer lol i see you hang with that fat skank any! lol
760,17,i seriously doubt the other women on teen mom have life goals of being a skank porn star with nasty plastic surgery eff ups... @f1abraham
784,17,@deplorablyurs @vikingwarrior34 call me fat some more you ugly ass skank. like i said  i'd love for you to come down here and say it to me.
972,17,rt @adamwiles: do not follow this girl is a fugly skank! https://t.co/yx4mgg31nb
1000,17,@telegraph well then stop dressing like a skank all the time.
1009,17,@crankytitz @ajslackie2 wow i just threw up !!! dirty fucking gross skank !!
1156,17,@gutterxxglitter ugly skank
1173,17,@gfxgoons tell that ugly skank the truth.. we are back together get lost u cheap  skank https://t.co/eqkxjv4oeb
1177,17,bring it on cross-eyed skank https://t.co/1vt9quphtw
